title,plot,genre
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Biography,Drama,Sport"
Rocky,"A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.","Drama,Sport"
Remember the Titans,"The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.","Biography,Drama,Sport"
The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.","Biography,Drama,Sport"
Million Dollar Baby,"Frankie, a hardened trainer, helps Maggie, an underdog amateur boxer, achieve her dream of becoming a professional.","Drama,Sport"
The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.","Drama,Sport"
The Fighter,"The story of the early years of boxer Irish Micky Ward and his brother who helped train him before going pro in the mid 1980s.","Biography,Drama,Sport"
Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","Drama,Sport"
The Karate Kid,"A handyman/martial arts master agrees to teach a bullied boy karate and shows him that there is more to the martial art than fighting.","Action,Drama,Family"
Enter the Dragon,"A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there.","Action,Crime,Drama"
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action,Crime,Drama"
John Wick,"An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.","Action,Crime,Thriller"
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Action,Adventure,Sci-Fi"
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Action,Adventure,Comedy"
Guardians of the Galaxy,"A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.","Action,Adventure,Comedy"
Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","Action,Adventure,Drama"
Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","Action,Adventure,Fantasy"
Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","Action,Adventure,Sci-Fi"
Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Animation,Action,Adventure"
Toy Story,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.","Animation,Adventure,Comedy"
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation,Adventure,Comedy"
Up,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.","Animation,Adventure,Comedy"
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Animation,Adventure,Comedy"
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation,Adventure,Comedy"
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Animation,Adventure,Comedy"
Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.","Animation,Adventure,Comedy"
Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","Animation,Adventure,Comedy"
The Little Mermaid,"A mermaid princess makes a Faustian bargain with an unscrupulous sea-witch in order to meet a human prince on land.","Animation,Adventure,Family"
Beauty and the Beast,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","Animation,Family,Fantasy"
Aladdin,"A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","Animation,Adventure,Comedy"
The Jungle Book,"Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.","Animation,Adventure,Family"
The Aristocats,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.","Animation,Adventure,Comedy"
101 Dalmatians,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.","Animation,Adventure,Comedy"
Bambi,"The story of a young deer growing up in the forest.","Animation,Drama,Family"
Snow White and the Seven Dwarfs,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","Animation,Adventure,Family" 
